architecture,fold_id,split,pr_auc,roc_auc,accuracy,precision,recall,specificity,f1,brier_score,brier_skill_score,prevalence,n_obs_scored,n_obs_total,selected
stage1_raw,10,validation,0.679730173267746,0.9811130334486736,0.9537254901960784,0.45555555555555555,0.803921568627451,0.9599673202614379,0.5815602836879433,0.04116990017235001,-0.07213281698828156,0.04,1275,1300,False
isotonic,10,validation,0.6723698876570373,0.9808407022939895,0.9647058823529412,0.5454545454545454,0.7058823529411765,0.9754901960784313,0.6153846153846153,0.022786271516626176,0.40660751258786,0.04,1275,1300,True
platt,10,validation,0.679730173267746,0.9811130334486736,0.9686274509803922,0.5901639344262295,0.7058823529411765,0.9795751633986928,0.6428571428571429,0.022624371277432956,0.4108236646501834,0.04,1275,1300,False
stacked_xgboost,10,validation,0.7561888415135969,0.9781814686658977,0.9623529411764706,0.5180722891566265,0.8431372549019608,0.9673202614379085,0.6417910447761195,0.028382655451259155,0.26086834762345945,0.04,1275,1300,False
logit_residual,10,validation,0.7939085849847975,0.9710047417659874,0.9764705882352941,0.7692307692307693,0.5882352941176471,0.9926470588235294,0.6666666666666667,0.022852423854069846,0.404884795466931,0.04,1275,1300,False
stage1_raw,11,validation,0.3766372439097998,0.8369464802611319,0.9647058823529412,0.2564102564102564,0.38461538461538464,0.9767814251401121,0.3076923076923077,0.03188241772196204,-0.5960108181703683,0.0203921568627451,1275,1300,False
isotonic,11,validation,0.35890625206603255,0.8205333497567285,0.9749019607843137,0.38461538461538464,0.38461538461538464,0.9871897518014412,0.38461538461538464,0.01842852792725156,0.07748119382465002,0.0203921568627451,1275,1300,True
platt,11,validation,0.3766372439097998,0.8369464802611319,0.9780392156862745,0.45454545454545453,0.38461538461538464,0.9903923138510808,0.41666666666666663,0.017957547303005438,0.10105814391672685,0.0203921568627451,1275,1300,False
stacked_xgboost,11,validation,0.33877910437733694,0.7542649504218759,0.9670588235294117,0.2777777777777778,0.38461538461538464,0.9791833466773419,0.3225806451612903,0.026598063430815274,-0.3314798566459036,0.0203921568627451,1275,1300,False
logit_residual,11,validation,0.3100374901851195,0.7330479768430129,0.9780392156862745,0.4375,0.2692307692307692,0.9927942353883107,0.33333333333333337,0.020662518840774136,-0.03435077879329462,0.0203921568627451,1275,1300,False
stage1_raw,12,validation,0.22237101418155475,0.9558707643814027,0.9874509803921568,0.1875,0.5,0.9897557131599685,0.2727272727272727,0.0253438761123888,-4.411037379196487,0.004705882352941176,1275,1300,False
isotonic,12,validation,0.21602940188466502,0.9442474389282899,0.9913725490196078,0.2222222222222222,0.3333333333333333,0.9944838455476753,0.26666666666666666,0.005884415922339829,-0.2563506217170588,0.004705882352941176,1275,1300,True
platt,12,validation,0.22237101418155475,0.9558707643814027,0.9929411764705882,0.2857142857142857,0.3333333333333333,0.996059889676911,0.30769230769230765,0.005901824470057729,-0.2600674289647489,0.004705882352941176,1275,1300,False
stacked_xgboost,12,validation,0.24304174213418317,0.9528500131337011,0.9827450980392157,0.13636363636363635,0.5,0.9850275807722616,0.21428571428571427,0.012206254065996838,-1.6060929558755075,0.004705882352941176,1275,1300,False
logit_residual,12,validation,0.20194810889364953,0.8904649330181245,0.9945098039215686,0.0,0.0,0.9992119779353822,,0.005436725223862539,-0.16076654085126618,0.004705882352941176,1275,1300,False
stage1_raw,13,validation,0.12973034509985426,0.8721688211247376,0.9761538461538461,0.1,0.42857142857142855,0.9791183294663574,0.16216216216216217,0.03399277899915993,-5.3471214792376855,0.005384615384615384,1300,1300,False
isotonic,13,validation,0.12659237773054488,0.8835487791404264,0.99,0.125,0.14285714285714285,0.9945862335653519,0.13333333333333333,0.008139729955705959,-0.5198479311836341,0.005384615384615384,1300,1300,True
platt,13,validation,0.12973034509985426,0.8721688211247376,0.99,0.125,0.14285714285714285,0.9945862335653519,0.13333333333333333,0.008174651871453331,-0.5263685407972745,0.005384615384615384,1300,1300,False
stacked_xgboost,13,validation,0.12633339572755203,0.8783559827643355,0.9753846153846154,0.0967741935483871,0.42857142857142855,0.9783449342614076,0.15789473684210525,0.020104063796514037,-2.7538247504263316,0.005384615384615384,1300,1300,False
logit_residual,13,validation,0.1667588438841475,0.6430228704010605,0.9938461538461538,0.3333333333333333,0.14285714285714285,0.9984532095901005,0.2,0.0061368178207354485,-0.14586477925565244,0.005384615384615384,1300,1300,False
isotonic,validation_aggregate,validation,0.3903773058468225,0.9058281504264231,0.9669683257918552,0.48513545912251255,0.3185366993922394,0.9932799576391309,0.38461538461538464,0.02395174540357973,0.21460386475493942,0.035686274509803925,15500,15600,True
logit_residual,validation_aggregate,validation,0.3698374829972888,0.8124605706752963,0.9726923076923077,0.5192307692307692,0.18441295546558706,0.9947974746081344,0.3076923076923077,0.026166320719653982,-0.015778716384293068,0.035686274509803925,15500,15600,False
platt,validation_aggregate,validation,0.40947774651848134,0.907274179789582,0.9694117647058824,0.5523049645390071,0.30512820512820515,0.9924892737082164,0.40449438202247195,0.023421853438208542,0.21161720082841162,0.035686274509803925,15500,15600,False
stacked_xgboost,validation_aggregate,validation,0.3376914438703872,0.8747245500866212,0.9619607843137254,0.39705882352941174,0.4642857142857143,0.9770267181428496,0.34820621043111244,0.02946892657611165,-0.04789120753467291,0.035686274509803925,15500,15600,False
stage1_raw,validation_aggregate,validation,0.40947774651848134,0.907274179789582,0.9507088989441931,0.32382920110192837,0.5491935483870968,0.9585890484033022,0.4057923497267759,0.049700620613863336,-0.5717644527738764,0.035686274509803925,15500,15600,False
stage1_raw,holdout,holdout,0.42921049580689774,0.885283203125,0.98,0.39285714285714285,0.55,0.98671875,0.45833333333333337,0.027333971824462865,-0.804469233724306,0.015384615384615385,2600,2600,False
isotonic,holdout,holdout,0.4116575828696608,0.8822900390625,0.9846153846153847,0.5,0.45,0.99296875,0.4736842105263158,0.01164082328735848,0.2315237751704754,0.015384615384615385,2600,2600,True
platt,holdout,holdout,0.42921049580689774,0.885283203125,0.9857692307692307,0.5517241379310345,0.4,0.994921875,0.463768115942029,0.011597739517805999,0.23436797714483848,0.015384615384615385,2600,2600,False
stacked_xgboost,holdout,holdout,0.4652375646692367,0.916025390625,0.9788461538461538,0.38095238095238093,0.6,0.984765625,0.4660194174757281,0.016168194667907924,-0.06735347612360898,0.015384615384615385,2600,2600,False
logit_residual,holdout,holdout,0.35200719821131354,0.7065527343750001,0.9857692307692307,0.6363636363636364,0.175,0.9984375,0.27450980392156865,0.014048373868203809,0.07258781885685806,0.015384615384615385,2600,2600,False
